"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ประสาท เนืองเฉลิม","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","35099135800","https://www.scopus.com/authid/detail.uri?authorId=35099135800","0000-0002-5361-0377","66","531","450","14"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Environment-friendly education as a solution to against global warming: A case study at Sekolah Alam Lampung, Indonesia","2019","Journal","Journal for the Education of Gifted Young Scientists","7","2","pp. 85–97","Sagala R., Nuangchalerm P., Saregar A., El Islami R.A.Z.","35","10.17478/jegys.565454","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068227076&origin=inward","2-s2.0-85068227076"
"Investigating the nature of science: An empirical report on the teacher development program in Thailand","2019","Journal","Jurnal Pendidikan IPA Indonesia","8","1","pp. 32–38","Prachagool V., Nuangchalerm P.","11","10.15294/jpii.v8i1.17275","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065565116&origin=inward","2-s2.0-85065565116"
"Enhancing innovative thinking of Thai pre-service teachers through multi-educational innovations","2019","Journal","Journal for the Education of Gifted Young Scientists","7","3","pp. 409–419","Wisetsat C., Nuangchalerm P.","20","10.17478/jegys.570748","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073118894&origin=inward","2-s2.0-85073118894"
"Exploring the indigenous knowledge of java north coast community (Pantura) using the science integrated learning (SIL) model for science content development","2019","Journal","Journal for the Education of Gifted Young Scientists","7","1","pp. 71–83","Parmin P., Nuangchalerm P., El Islami R.A.Z.","20","10.17478/jegys.466460","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064161830&origin=inward","2-s2.0-85064161830"
"Science Process of Environmental Conservation: A Cross National Study of Thai and Indonesian Pre-service Science Teachers","2018","Journal","Journal for the Education of Gifted Young Scientists","6","4","pp. 72–80","El Islami R., Nuangchalerm P., Sjaifuddin S.","20","10.17478/JEGYS.2018.84","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059617917&origin=inward","2-s2.0-85059617917"
"Comparative study between Indonesian and Thai novice science teacher students in content of science","2018","Journal","Journal for the Education of Gifted Young Scientists","6","2","pp. 23–29","Nuangchalerm P., El Islami R.","19","10.17478/JEGYS.2018.75","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050503841&origin=inward","2-s2.0-85050503841"
"Researching computing teachers' attitudes towards changes in the curriculum content - An innovative approach or resistance?","2017","Conference Proceeding","Proceedings of the 2nd International Conference on Informatics and Computing Icic 2017","2018-January","","pp. 1–6","Dostal J., Wang X., Nuangchalerm P., Brosch A., Steingartner W.","8","10.1109/IAC.2017.8280531","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047787622&origin=inward","2-s2.0-85047787622"
"Perception of preservice science teachers in the constructivist science learning environment","2017","Journal","Chemistry","26","3","pp. 332–340","Nuangchalerm P., Dostál J.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021115051&origin=inward","2-s2.0-85021115051"
"Experiments in education supported by computer use: Teachers' attitudes towards computers","2017","Conference Proceeding","Csedu 2017 Proceedings of the 9th International Conference on Computer Supported Education","2","","pp. 248–254","Dostál J., Wang X., Nuangchalerm P.","4","10.5220/0006321302480254","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85023173973&origin=inward","2-s2.0-85023173973"
"Pedagogical decision making through the lens of teacher preparation program","2016","Journal","Journal for the Education of Gifted Young Scientists","4","1","pp. 41–52","Prachagool V., Nuangchalerm P., Subramaniam G., Dostál J.","23","10.17478/JEGYS.2016116351","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021169295&origin=inward","2-s2.0-85021169295"
"Investigating preservice secondary school science teachers' practices about inquiry-based instruction during school practicum","2016","Journal","Chemistry","25","4","pp. 487–495","Nuangchalerm P., Dostál J., Luo X.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84983530467&origin=inward","2-s2.0-84983530467"
"Possibilities of inducing pupils' inquiry activities during instruction","2016","Conference Proceeding","Csedu 2016 Proceedings of the 8th International Conference on Computer Supported Education","2","","pp. 107–111","Dostál J., Nuangchalerm P., Stebila J., Bal B.","0","10.5220/0005795701070111","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84979641022&origin=inward","2-s2.0-84979641022"
"Enhancing ICT competency for teachers in the Thailand basic education system","2015","Journal","International Education Studies","8","6","pp. 1–8","Akarawang C., Kidrakran P., Nuangchalerm P.","20","10.5539/ies.v8n6p1","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84930064480&origin=inward","2-s2.0-84930064480"
"Inquiry-based learning in China: Lesson learned for school science practices","2014","Journal","Asian Social Science","10","13","pp. 64–71","Nuangchalerm P.","5","10.5539/ass.v10n13p64","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903944937&origin=inward","2-s2.0-84903944937"
"Service learning in science teacher preparation program: Concepts and practices","2014","Journal","Chemistry","23","6","pp. 815–828","Nuangchalerm P.","1","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84918563133&origin=inward","2-s2.0-84918563133"
"Service learning and its influenced to pre-service teachers: Social responsibility and self-efficacy study","2013","Journal","International Education Studies","6","7","pp. 144–149","Prasertsang P., Nuangchalerm P., Pumipuntu C.","4","10.5539/ies.v6n7p144","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880016713&origin=inward","2-s2.0-84880016713"
"The Multiple intelligences integrated learning of environmental education to promote knowledge, attitude and awareness about environmental conservation of Chiang Mai Rajabhat University students","2012","Journal","Social Sciences","7","2","pp. 308–315","Utthawang P., Wongchantra P., Neungchalerm P.","1","10.3923/sscience.2012.308.315","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84860738336&origin=inward","2-s2.0-84860738336"
"Study on group-based problem-solving of pre-service teachers in early childhood education program","2012","Journal","Journal of Applied Sciences Research","8","3","pp. 1642–1645","Prachagool V., Nuangchalerm P.","1","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84865974350&origin=inward","2-s2.0-84865974350"
"Learning achievement, science process skills, and moral reasoning of ninth grade students learned by 7e learning cycle and socioscientific issue-based learning","2011","Journal","Australian Journal of Basic and Applied Sciences","5","10","pp. 257–264","Polyiem T., Nuangchalerm P., Wongchantra P.","14","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80155139725&origin=inward","2-s2.0-80155139725"
"Internet user and electronic journals perception: An inservice science teacher study","2010","Journal","Journal of Applied Sciences Research","6","5","pp. 447–452","Nuangchalerm P.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953517658&origin=inward","2-s2.0-77953517658"
